"年月","指数类别","组别类别","基数年","指数","权数"
"201412","CCPI","6","Index : October 2014 - September 2015 = 100",101.7,0.41
"201412","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201412","CCPI","4","Index : October 2014 - September 2015 = 100",100.4,1.18
"201412","CCPI","3","Index : October 2014 - September 2015 = 100",98.1,1.76
"201412","CCPI","2","Index : October 2014 - September 2015 = 100",99.9,0.55
"201412","CCPI","7","Index : October 2014 - September 2015 = 100",99.8,0.43
"201501","CCPI","1","Index : October 2014 - September 2015 = 100",98.7,0.4
"201501","CCPI","2","Index : October 2014 - September 2015 = 100",94.3,0.55
"201501","CCPI","3","Index : October 2014 - September 2015 = 100",98.6,1.76
"201501","CCPI","4","Index : October 2014 - September 2015 = 100",100.4,1.18
"201501","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201501","CCPI","6","Index : October 2014 - September 2015 = 100",102.2,0.41
"201501","CCPI","7","Index : October 2014 - September 2015 = 100",99.8,0.43
"201501","CCPI","8","Index : October 2014 - September 2015 = 100",98.7,1.46
"201501","CCPI","9","Index : October 2014 - September 2015 = 100",100.1,0.06
"201501","CCPI","10","Index : October 2014 - September 2015 = 100",99.5,0.24
"201501","CCPI","11","Index : October 2014 - September 2015 = 100",102,1.48
"201501","CCPI","12","Index : October 2014 - September 2015 = 100",99.5,7.98
"201501","CCPI","99","Index : October 2014 - September 2015 = 100",100,100
"201502","CCPI","1","Index : October 2014 - September 2015 = 100",99.6,0.4
"201502","CCPI","2","Index : October 2014 - September 2015 = 100",95.9,0.55
"201502","CCPI","3","Index : October 2014 - September 2015 = 100",99.9,1.76
"201502","CCPI","4","Index : October 2014 - September 2015 = 100",98.9,1.18
"201502","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201502","CCPI","6","Index : October 2014 - September 2015 = 100",102.7,0.41
"201502","CCPI","7","Index : October 2014 - September 2015 = 100",99.9,0.43
"201502","CCPI","8","Index : October 2014 - September 2015 = 100",96.4,1.46
"201502","CCPI","9","Index : October 2014 - September 2015 = 100",100.1,0.06
"201502","CCPI","10","Index : October 2014 - September 2015 = 100",99.5,0.24
"201502","CCPI","11","Index : October 2014 - September 2015 = 100",100.3,1.48
"201502","CCPI","12","Index : October 2014 - September 2015 = 100",99,7.98
"201502","CCPI","99","Index : October 2014 - September 2015 = 100",100.8,100
"201503","CCPI","1","Index : October 2014 - September 2015 = 100",101.7,0.4
"201503","CCPI","2","Index : October 2014 - September 2015 = 100",98,0.55
"201503","CCPI","3","Index : October 2014 - September 2015 = 100",100.3,1.76
"201503","CCPI","4","Index : October 2014 - September 2015 = 100",98.9,1.18
"201503","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201503","CCPI","6","Index : October 2014 - September 2015 = 100",102.4,0.41
"201503","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201503","CCPI","8","Index : October 2014 - September 2015 = 100",98.7,1.46
"201503","CCPI","9","Index : October 2014 - September 2015 = 100",100.1,0.06
"201503","CCPI","10","Index : October 2014 - September 2015 = 100",99.9,0.24
"201503","CCPI","11","Index : October 2014 - September 2015 = 100",96.5,1.48
"201503","CCPI","12","Index : October 2014 - September 2015 = 100",99.1,7.98
"201503","CCPI","99","Index : October 2014 - September 2015 = 100",100.5,100
"201504","CCPI","99","Index : October 2014 - September 2015 = 100",99.7,100
"201504","CCPI","1","Index : October 2014 - September 2015 = 100",102,0.4
"201504","CCPI","2","Index : October 2014 - September 2015 = 100",98.6,0.55
"201504","CCPI","3","Index : October 2014 - September 2015 = 100",100.7,1.76
"201504","CCPI","4","Index : October 2014 - September 2015 = 100",98.9,1.18
"201504","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201504","CCPI","6","Index : October 2014 - September 2015 = 100",98.4,0.41
"201504","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201504","CCPI","8","Index : October 2014 - September 2015 = 100",98.7,1.46
"201504","CCPI","9","Index : October 2014 - September 2015 = 100",100.1,0.06
"201504","CCPI","10","Index : October 2014 - September 2015 = 100",99.8,0.24
"201504","CCPI","11","Index : October 2014 - September 2015 = 100",95.5,1.48
"201504","CCPI","12","Index : October 2014 - September 2015 = 100",98.8,7.98
"201505","CCPI","1","Index : October 2014 - September 2015 = 100",101.2,0.4
"201505","CCPI","2","Index : October 2014 - September 2015 = 100",101.2,0.55
