"年月","指数类别","组别类别","基数年","指数","权数"
"201407","CPIA","4","Index : October 2014 - September 2015 = 100",100.1,1.83
"201407","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201407","CPIA","6","Index : October 2014 - September 2015 = 100",99.9,0.61
"201407","CPIA","7","Index : October 2014 - September 2015 = 100",99.9,0.27
"201407","CPIA","8","Index : October 2014 - September 2015 = 100",99,2.03
"201407","CPIA","9","Index : October 2014 - September 2015 = 100",99.3,0.05
"201407","CPIA","10","Index : October 2014 - September 2015 = 100",92.7,0.13
"201407","CPIA","11","Index : October 2014 - September 2015 = 100",105.1,0.89
"201407","CPIA","12","Index : October 2014 - September 2015 = 100",100.3,6.75
"201407","CPIA","99","Index : October 2014 - September 2015 = 100",97.1,100
"201408","CPIA","1","Index : October 2014 - September 2015 = 100",99.6,0.22
"201408","CPIA","2","Index : October 2014 - September 2015 = 100",111.4,0.15
"201408","CPIA","3","Index : October 2014 - September 2015 = 100",96.7,0.56
"201408","CPIA","4","Index : October 2014 - September 2015 = 100",100.4,1.83
"201408","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201408","CPIA","6","Index : October 2014 - September 2015 = 100",100.2,0.61
"201408","CPIA","7","Index : October 2014 - September 2015 = 100",99.9,0.27
"201408","CPIA","8","Index : October 2014 - September 2015 = 100",99,2.03
"201408","CPIA","9","Index : October 2014 - September 2015 = 100",99.4,0.05
"201408","CPIA","10","Index : October 2014 - September 2015 = 100",92.7,0.13
"201408","CPIA","11","Index : October 2014 - September 2015 = 100",105,0.89
"201408","CPIA","12","Index : October 2014 - September 2015 = 100",100.4,6.75
"201408","CPIA","99","Index : October 2014 - September 2015 = 100",91.1,100
"201409","CPIA","99","Index : October 2014 - September 2015 = 100",98.4,100
"201409","CPIA","4","Index : October 2014 - September 2015 = 100",100.4,1.83
"201409","CPIA","11","Index : October 2014 - September 2015 = 100",103,0.89
"201409","CPIA","10","Index : October 2014 - September 2015 = 100",99.5,0.13
