"年月","关口","抵港或离港","人次"
"201501","KTCT","AV",57990
"201501","TMFT","AV",0
"201502","KTCT","DB",67941
"201502","TMFT","DB",0
"201502","CFT","DB",411086
"201502","LMC","AV",1187023
"201502","SZB","DB",1676411
"201502","AIR","AV",1801530
"201502","TMFT","AV",0
"201502","CFT","AV",359003
"201502","LWT","DB",3485253
"201502","HHS","AV",184309
"201502","MFT","DB",754483
"201502","LWT","AV",3396861
"201502","AIR","DB",1807376
"201502","RTT","DB",2
"201502","HHS","DB",191456
"201502","LMCSL","AV",2208329
"201502","KTCT","AV",70050
"201502","MFT","AV",649509
"201502","STK","AV",148522
"201502","HARB","AV",2442
"201502","LMCSL","DB",2293121
"201502","SZB","AV",1634537
"201502","MKT","DB",144389
"201502","HARB","DB",1716
"201502","LMC","DB",1071632
"201502","MKT","AV",207566
"201502","STK","DB",137530
"201502","RTT","AV",13
"201503","TMFT","AV",0
"201503","STK","DB",125551
"201503","MKT","AV",183268
"201503","AIR","DB",1845910
"201503","HARB","AV",3502
"201503","LWT","DB",3241100
"201503","CFT","DB",342996
"201503","LMCSL","DB",2642258
"201503","HHS","AV",160485
"201503","HHS","DB",166314
"201503","KTCT","DB",72385
"201503","CFT","AV",278045
"201503","LWT","AV",3359460
"201503","LMC","AV",1231440
"201503","SZB","DB",1494073
"201503","LMCSL","AV",2464936
"201503","LMC","DB",1042169
"201503","RTT","DB",9
"201503","KTCT","AV",70442
"201503","MFT","AV",602954
"201503","AIR","AV",1931380
"201503","MKT","DB",134016
"201503","RTT","AV",16
"201503","STK","AV",129995
"201503","SZB","AV",1440381
"201503","HARB","DB",1914
"201503","MFT","DB",737096
"201503","TMFT","DB",0
"201504","TMFT","AV",0
"201504","SZB","AV",1599830
"201504","AIR","AV",2057999
"201504","LWT","AV",3696466
"201504","LMCSL","AV",2572940
"201504","STK","DB",134258
"201504","LWT","DB",3570046
"201504","HHS","DB",197602
"201504","LMC","DB",1115547
"201504","STK","AV",139579
"201504","CFT","DB",422563
"201504","MKT","DB",130662
"201504","MFT","AV",671234
"201504","CFT","AV",335833
"201504","HARB","DB",2159
"201504","KTCT","AV",71426
"201504","LMC","AV",1432088
"201504","RTT","DB",17
"201504","HHS","AV",190911
"201504","RTT","AV",20
"201504","TMFT","DB",0
"201504","AIR","DB",1926845
"201504","SZB","DB",1602056
"201504","HARB","AV",2907
"201504","KTCT","DB",74654
"201504","MKT","AV",186511
"201504","MFT","DB",870256
"201504","LMCSL","DB",2797650
"201505","RTT","DB",4
"201505","LMC","DB",1070798
"201505","CFT","DB",386383
"201505","LMC","AV",1335864
"201505","LMCSL","AV",2445190
"201505","MKT","AV",190052
"201505","MFT","AV",638894
"201505","STK","DB",118698
"201505","LWT","DB",3312336
"201505","TMFT","AV",0
"201505","MFT","DB",825340
"201505","LMCSL","DB",2667475
"201505","HARB","DB",2329
"201505","AIR","AV",1942546
"201505","MKT","DB",136300
"201505","RTT","AV",7
"201505","TMFT","DB",0
"201505","KTCT","DB",66080
"201505","HHS","DB",173383
"201505","STK","AV",126973
"201505","AIR","DB",1875288
"201505","SZB","DB",1510676
"201505","LWT","AV",3455223
"201505","CFT","AV",301251
"201505","HHS","AV",172705
"201505","KTCT","AV",64895
"201505","HARB","AV",2625
"201505","SZB","AV",1480560
"201506","MFT","AV",601033
"201506","HHS","DB",160263
"201506","KTCT","AV",70155
"201506","TMFT","DB",0
"201506","STK","AV",120031
"201506","RTT","AV",3
"201506","LWT","AV",3249558
"201506","KTCT","DB",67065
"201506","LMC","DB",1056372
"201506","SZB","DB",1446553
"201506","HARB","AV",3054
"201506","STK","DB",113942
"201506","AIR","DB",1857169
"201506","LMCSL","DB",2494484
"201506","LMCSL","AV",2305382
"201506","HHS","AV",157637
"201506","SZB","AV",1412744
"201506","MKT","AV",174898
"201506","MKT","DB",132436
"201506","MFT","DB",722242
"201506","HARB","DB",2255
"201506","LMC","AV",1196401
"201506","TMFT","AV",0
"201506","CFT","AV",277833
"201506","CFT","DB",353695
"201506","LWT","DB",3166668
"201506","AIR","AV",1885384
"201506","RTT","DB",6
"201507","HARB","DB",2508
"201507","AIR","AV",2010268
"201507","LMC","DB",1066936
"201507","LWT","AV",3420790
"201507","LMCSL","AV",2327777
"201507","SZB","AV",1480389
"201507","LWT","DB",3374479
"201507","RTT","AV",6
"201507","MKT","AV",156544
"201507","SZB","DB",1476304
"201507","LMCSL","DB",2481030
"201507","TMFT","AV",0
"201507","CFT","DB",390117
"201507","MFT","AV",682764
"201507","LMC","AV",1297478
"201507","MKT","DB",122136
"201507","KTCT","DB",78277
"201507","HHS","AV",180188
"201507","TMFT","DB",0
"201507","MFT","DB",819767
"201507","HARB","AV",2751
"201507","RTT","DB",10
"201507","AIR","DB",2032384
"201507","STK","AV",126944
"201507","HHS","DB",180202
"201507","KTCT","AV",76184
"201507","CFT","AV",320104
"201507","STK","DB",118586
"201508","SZB","AV",1628341
"201508","KTCT","AV",92255
"201508","LMCSL","AV",2551119
"201508","LWT","AV",3765279
"201508","MFT","DB",958834
"201508","CFT","DB",456147
"201508","AIR","AV",2274375
"201508","RTT","DB",4
"201508","TMFT","AV",0
"201508","MFT","AV",746575
"201508","HHS","AV",191676
"201508","LWT","DB",3636798
"201508","CFT","AV",379244
"201508","LMC","DB",1179026
"201508","STK","AV",142598
"201508","STK","DB",131797
"201508","HHS","DB",188900
"201508","HARB","AV",3090
"201508","MKT","DB",126081
"201508","LMCSL","DB",2719746
"201508","MKT","AV",165304
"201508","HARB","DB",2173
"201508","AIR","DB",2022993
"201508","SZB","DB",1631426
"201508","KTCT","DB",89279
"201508","TMFT","DB",0
"201508","RTT","AV",3
"201508","LMC","AV",1454958
"201509","LMCSL","AV",2472142
"201509","RTT","DB",3
"201509","KTCT","DB",74412
"201509","LWT","AV",3422333
"201509","AIR","DB",1843606
"201509","LMC","DB",1013800
"201509","RTT","AV",4
"201509","HHS","DB",156523
"201509","LMC","AV",1243490
"201509","CFT","AV",295906
"201509","CFT","DB",351434
"201509","TMFT","AV",0
"201509","KTCT","AV",69523
"201509","MKT","AV",187821
"201509","LWT","DB",3345589
"201509","SZB","AV",1553692
"201509","LMCSL","DB",2622085
"201509","SZB","DB",1527476
"201509","MFT","AV",622884
"201509","AIR","AV",1760694
"201509","HARB","DB",1932
"201509","TMFT","DB",0
"201509","STK","AV",132056
"201509","MFT","DB",771356
"201509","STK","DB",123705
"201509","MKT","DB",154316
"201509","HHS","AV",159594
"201509","HARB","AV",2836
"201510","MFT","DB",804631
"201510","SZB","DB",1638278
"201510","KTCT","AV",73103
"201510","STK","AV",135512
"201510","CFT","DB",374235
"201510","AIR","DB",1868319
"201510","CFT","AV",309360
"201510","MFT","AV",608037
"201510","TMFT","AV",0
"201510","HARB","DB",2416
"201510","LMC","AV",1337874
"201510","MKT","DB",155561
"201510","MKT","AV",190047
"201510","SZB","AV",1577222
"201510","RTT","DB",2
"201510","RTT","AV",4
"201510","KTCT","DB",73844
"201510","LMC","DB",1105651
"201510","LMCSL","AV",2536311
"201510","AIR","AV",2104647
"201510","LWT","DB",3450285
"201510","LMCSL","DB",2719463
"201510","HHS","DB",183364
"201510","HARB","AV",3177
"201510","HHS","AV",174849
"201510","TMFT","DB",0
"201510","LWT","AV",3484497
"201510","STK","DB",129277
